filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
bs_raw.fast5	023b1c88-ebd7-4a28-a022-c3f26067cf14	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	203	4	26914.271750	19.733250	19733	TRUE	26914.271750	19733	19.733250	6366	7.980179	0.000000	46.900810	8.086347	46.900810	8.086347
bs_raw.fast5	0245ed6f-725f-46e8-acf4-a6f72185381d	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	46	2	97495.996750	4.949750	4949	TRUE	97495.996750	4949	4.949750	1822	8.258954	0.000000	48.697777	7.906650	48.697777	7.906650
bs_raw.fast5	0283d402-dcc4-41be-99f3-9ca0ea95a6de	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	103	3	33182.305000	8.793750	8793	FALSE	33182.305000	8793	8.793750	4145	6.682736	0.000000	55.346550	8.266043	55.346550	8.266043
bs_raw.fast5	028a8633-7052-4ed6-9875-6841f13625d2	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	171	4	23760.529000	3.657500	3657	TRUE	23760.529000	3657	3.657500	1544	8.772139	0.000000	51.572922	6.648774	51.572922	6.648774
bs_raw.fast5	02916dfd-b0b3-4139-bfac-d7bf9c8acfda	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	453	1	107741.506500	20.624500	20624	TRUE	107741.506500	20624	20.624500	6459	8.974677	0.000000	46.182022	7.906650	46.182022	7.906650
bs_raw.fast5	02a84fa0-97a2-4658-81dd-7756ba40eec4	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	252	4	6634.701250	9.664750	9664	TRUE	6634.701250	9664	9.664750	4042	7.908547	0.000000	53.908978	7.187863	53.908978	7.187863
bs_raw.fast5	02b3c950-8ea0-4269-a819-d3148ff7fed7	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	486	2	50444.007250	7.451250	7451	TRUE	50444.007250	7451	7.451250	2864	7.941017	0.000000	53.010494	7.906650	53.010494	7.906650
bs_raw.fast5	02bbfc7e-d38f-4faf-839a-0b68c552cc39	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	498	2	18388.283750	12.056750	12056	TRUE	18388.283750	12056	12.056750	3963	8.724020	0.000000	51.213528	7.547257	51.213528	7.547257
bs_raw.fast5	02ea2f0c-bb1b-4455-b529-ecfcb8dc3e7c	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	483	1	123790.786000	1.816750	1816	TRUE	123790.786000	1816	1.816750	720	8.351578	0.000000	55.885639	10.242705	55.885639	10.242705
bs_raw.fast5	03052dab-3a06-4d88-b53e-03fc8abd9d14	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	47	4	79001.869000	15.932250	15932	FALSE	79001.869000	15932	15.932250	6776	6.982289	0.000000	52.112011	6.469077	52.112011	6.469077
bs_raw.fast5	03068c57-8fb1-42d0-943f-a72c2fa5447a	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	49	3	41755.155750	13.074250	13074	TRUE	41755.155750	13074	13.074250	4895	8.097618	0.000000	52.471405	7.367560	52.471405	7.367560
bs_raw.fast5	030fb3ce-20d1-4a3a-bf1e-28efc5eadd23	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	112	3	67982.434250	10.830250	10830	TRUE	67982.506250	10758	10.758250	4265	8.699656	0.000000	47.978989	7.008167	47.978989	7.008167
bs_raw.fast5	0318734a-af7c-4414-bb26-125690d0d31b	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	227	4	162904.668750	13.911500	13911	TRUE	162904.668750	13911	13.911500	5669	8.526300	0.000000	46.900810	6.289381	46.900810	6.289381
bs_raw.fast5	03220c94-766a-430d-bade-8261c7bde485	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	242	4	9400.691000	6.140000	6140	TRUE	9400.691000	6140	6.140000	2842	8.778889	0.000000	51.213528	7.008167	51.213528	7.008167
bs_raw.fast5	0339e7f1-d235-4245-b107-1af6b9d9eb06	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	309	4	47464.047000	42.737750	42737	TRUE	47464.047000	42737	42.737750	9191	7.765667	0.000000	46.002327	7.906650	46.002327	7.906650
bs_raw.fast5	03440ff1-56dc-411c-abb9-b5118034b9bb	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	508	2	118765.627250	9.771000	9771	TRUE	118765.627250	9771	9.771000	4137	8.157522	0.000000	47.799294	8.266043	47.799294	8.266043
bs_raw.fast5	036ebdc8-6eea-4f7e-beb1-a55497c88f6a	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	104	1	39430.679000	5.211000	5211	TRUE	39430.679000	5211	5.211000	1989	8.037904	0.000000	47.978989	7.726954	47.978989	7.726954
bs_raw.fast5	037da98d-9af5-47ea-b8a9-5fa73756aed6	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	459	3	85800.744000	6.395500	6395	TRUE	85800.744000	6395	6.395500	2280	8.503327	0.000000	50.854134	8.266043	50.854134	8.266043
bs_raw.fast5	0395d095-fcbe-495f-9349-304b42309c9d	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	428	1	93802.333750	1.759500	1759	TRUE	93802.333750	1759	1.759500	614	8.225950	0.000000	47.080505	7.726954	47.080505	7.726954
bs_raw.fast5	03a21ea3-5447-48ee-ac1b-a2d992a7739d	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	478	1	64891.932750	9.827250	9827	TRUE	64891.932750	9827	9.827250	3777	8.433068	0.000000	49.236866	7.547257	49.236866	7.547257
bs_raw.fast5	03a59ed3-ce6d-4ffd-9a0e-a32d263fbf41	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	191	2	7911.043000	2.704750	2704	FALSE	7911.043000	2704	2.704750	1140	6.471661	0.000000	50.315044	7.906650	50.315044	7.906650
bs_raw.fast5	03b9d21d-0fcf-4254-b4fa-c65754329124	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	185	3	53597.730500	10.452250	10452	TRUE	53597.730500	10452	10.452250	4156	8.738732	0.000000	49.955650	7.367560	49.955650	7.367560
